film_title,category_name,rental_count
Alaska Phantom,Music,26
Alone Trip,Music,18
Amelie Hellfighters,Music,10
Balloon Homeward,Music,23
Banger Pinocchio,Music,22
Birch Antitrust,Music,11
Birdcage Casper,Music,9
Boogie Amelie,Music,29
Chamber Italian,Music,13
Clones Pinocchio,Music,19
Clue Grail,Music,7
Confidential Interview,Music,29
Deer Virginian,Music,29
Dorado Notting,Music,27
Driving Polish,Music,21
Elf Murder,Music,7
Enemy Odds,Music,29
Freaky Pocus,Music,17
Go Purple,Music,20
Greatest North,Music,29
Grosse Wonderful,Music,8
Hanover Galaxy,Music,17
Heavenly Gun,Music,7
Home Pity,Music,14
Impact Aladdin,Music,9
Insider Arizona,Music,20
Jawbreaker Brooklyn,Music,10
Legend Jedi,Music,9
Lucky Flying,Music,13
Masked Bubble,Music,20
Minority Kiss,Music,12
Monster Spartacus,Music,15
Oleander Clue,Music,10
Outfield Massacre,Music,20
Personal Ladybugs,Music,14
Rebel Airport,Music,8
Reds Pocus,Music,9
Roman Punk,Music,24
Runner Madigan,Music,8
Scalawag Duck,Music,32
Silence Kane,Music,16
Song Hedwig,Music,11
Taxi Kick,Music,17
Telegraph Voyage,Music,27
Terminator Club,Music,6
Uncut Suicides,Music,14
Vanishing Rocky,Music,18
Wizard Coldblooded,Music,16
Won Dares,Music,9
Words Hunter,Music,16
Youth Kick,Music,6
